"uri","creators","rkdartists_label","rkdartists_uri"
"http://data.collectienederland.nl/resource/document/rijksakademie/0956","Johannes Kroon","Johannes Kroon","https://data.rkd.nl/artists/423762"
"http://data.collectienederland.nl/resource/document/rijksakademie/0974A","Gerard Huijsser","Gerard Huijsser","https://data.rkd.nl/artists/40418"
"http://data.collectienederland.nl/resource/document/rijksakademie/0974B","Gerard Huijsser","Gerard Huijsser","https://data.rkd.nl/artists/40418"
"http://data.collectienederland.nl/resource/document/rijksakademie/0974C","Gerard Huijsser","Gerard Huijsser","https://data.rkd.nl/artists/40418"
"http://data.collectienederland.nl/resource/document/rijksakademie/0974D","Gerard Huijsser","Gerard Huijsser","https://data.rkd.nl/artists/40418"
"http://data.collectienederland.nl/resource/document/rijksakademie/1828","Ernee P. 't Hooft","Ernee P. 't Hooft",""
"http://data.collectienederland.nl/resource/document/rijksakademie/9144","Johan Sybo Sjollema","Johan Sybo Sjollema","https://data.rkd.nl/artists/72909"
"http://data.collectienederland.nl/resource/document/rijksakademie/9551","Johan Sybo Sjollema","Johan Sybo Sjollema","https://data.rkd.nl/artists/72909"
"http://data.collectienederland.nl/resource/document/rijksakademie/1091","Arina Hugenholtz","Arina Hugenholtz","https://data.rkd.nl/artists/88433"
"http://data.collectienederland.nl/resource/document/rijksakademie/1159","Hendrik P. Berlage","Hendrik P. Berlage",""
"http://data.collectienederland.nl/resource/document/rijksakademie/1101","Gerarda van der Horst","Gerarda van der Horst","https://data.rkd.nl/artists/367987"
"http://data.collectienederland.nl/resource/document/rijksakademie/1108","Henri Koetser","Henri Koetser","https://data.rkd.nl/artists/45392"
"http://data.collectienederland.nl/resource/document/rijksakademie/1122","Johan G. C. Gebhard","Johan G. C. Gebhard",""
"http://data.collectienederland.nl/resource/document/rijksakademie/1127","Marie J. Böhtlingk Prölss","Marie J. Böhtlingk Prölss",""
"http://data.collectienederland.nl/resource/document/rijksakademie/1135","Sara Dekker Sartorius","Sara Dekker Sartorius","https://data.rkd.nl/artists/366188"
"http://data.collectienederland.nl/resource/document/rijksakademie/1137","Bert Nienhuis","Bert Nienhuis","https://data.rkd.nl/artists/89334"
"http://data.collectienederland.nl/resource/document/rijksakademie/1138","Ferdinand G.W. Oldewelt","Ferdinand G.W. Oldewelt",""
"http://data.collectienederland.nl/resource/document/rijksakademie/1141","Pieter G. Maan","Pieter G. Maan",""
"http://data.collectienederland.nl/resource/document/rijksakademie/1150","J.F. van der Vlis","J.F. van der Vlis",""
"http://data.collectienederland.nl/resource/document/rijksakademie/1156","H.A. Strauss","H.A. Strauss",""
"http://data.collectienederland.nl/resource/document/rijksakademie/1158","Salomon Goslinski","Salomon Goslinski","https://data.rkd.nl/artists/367782"
"http://data.collectienederland.nl/resource/document/rijksakademie/1194","Hendrik Willebrord Jansen","Hendrik Willebrord Jansen","https://data.rkd.nl/artists/41744"
"http://data.collectienederland.nl/resource/document/rijksakademie/9549","Leo Th.J. van Eekelen","Leo Th.J. van Eekelen",""
"http://data.collectienederland.nl/resource/document/rijksakademie/9599","Roel Achterberg","Roel Achterberg","https://data.rkd.nl/artists/285"
"http://data.collectienederland.nl/resource/document/rijksakademie/9605","Roel Achterberg","Roel Achterberg","https://data.rkd.nl/artists/285"
"http://data.collectienederland.nl/resource/document/rijksakademie/9608","Roel Achterberg","Roel Achterberg","https://data.rkd.nl/artists/285"
"http://data.collectienederland.nl/resource/document/rijksakademie/9609","Roel Achterberg","Roel Achterberg","https://data.rkd.nl/artists/285"
"http://data.collectienederland.nl/resource/document/rijksakademie/9610","Roel Achterberg","Roel Achterberg","https://data.rkd.nl/artists/285"
"http://data.collectienederland.nl/resource/document/rijksakademie/9612","Roel Achterberg","Roel Achterberg","https://data.rkd.nl/artists/285"
"http://data.collectienederland.nl/resource/document/rijksakademie/9450","Henk P. Pander","Henk P. Pander",""
"http://data.collectienederland.nl/resource/document/rijksakademie/3112","Willem H. van den Berg","Willem H. van den Berg",""
"http://data.collectienederland.nl/resource/document/rijksakademie/3134","Willem H. van den Berg","Willem H. van den Berg",""
"http://data.collectienederland.nl/resource/document/rijksakademie/3165","Willem H. van den Berg","Willem H. van den Berg",""
"http://data.collectienederland.nl/resource/document/rijksakademie/3178","August Allebé","August Allebé","https://data.rkd.nl/artists/1197"
