Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2751002;Megen;Megen;;P;PPL;NL;Netherlands;;06;0828;;;1520;;7;Europe/Amsterdam;2017-10-17;Netherlands;51.82167,5.5625
2751272;Made;Made;Die Meede,میڈ، نیدرلینڈز;P;PPL;NL;Netherlands;;06;1719;;;11795;;3;Europe/Amsterdam;2017-10-17;Netherlands;51.67667,4.79306
2751773;Leiden;Leiden;Lajden,Leida,Leiden,Leidenas,Leidene,Leie,Leien,Leinten,Lejda,Lejdehn,Lejden,Lejdeni,Leyde,Leyden,Lugdunum,Lugdunum Batavorum,Lèida,la'idena,lai dun,laitan,laydn,laydyn,leideni,leideon,li dein,lydn,lyydn,raiden,Λέιντεν,Лайден,Лајден,Лейден,Лейдэн,Լեյդեն,ליידן,لائڈن,لايدن,لايدين,لیدن,লাইডেন,லைடன்,ไลเดิน,ლეიდენი,ライデン,莱顿,레이던;P;PPL;NL;Netherlands;;11;0546;;;119713;;6;Europe/Amsterdam;2019-09-05;Netherlands;52.15833,4.49306
2753955;Hoge Vucht;Hoge Vucht;;P;PPLX;NL;Netherlands;;06;0758;;;16000;;4;Europe/Amsterdam;2013-11-01;Netherlands;51.60794,4.7915
2754073;Hillegom;Hillegom;Hillegom;P;PPL;NL;Netherlands;;11;0534;;;18419;;0;Europe/Amsterdam;2017-10-17;Netherlands;52.29083,4.58333
2754556;Heijen;Heijen;Heien,MC Heijen;P;PPL;NL;Netherlands;;05;0907;;;1610;;17;Europe/Amsterdam;2017-10-17;Netherlands;51.675,5.98056
2754611;Hegelsom;Hegelsom;;P;PPL;NL;Netherlands;;05;1507;;;1185;;28;Europe/Amsterdam;2017-10-17;Netherlands;51.43917,6.03889
2754659;Heerhugowaard;Heerhugowaard;Heerhugowaard,Heyrhuxovard,Kherkhjugovard,hai er xu huo wa de,Херхюговард,Հեյրհուխովարդ,海爾許霍瓦德;P;PPL;NL;Netherlands;;07;1980;;;47580;;-1;Europe/Amsterdam;2022-09-30;Netherlands;52.67144,4.84862
2755485;Goedereede;Goedereede;Goederee,Goeree,Goereê,Guderede,Xudereyde,hu de lei de,Гудереде,Խուդերեյդե,胡德雷德;P;PPL;NL;Netherlands;;11;1924;;;11597;;2;Europe/Amsterdam;2017-10-17;Netherlands;51.8175,3.98056
2755531;Giessendam;Giessendam;Giesdam,Giesendam;P;PPL;NL;Netherlands;;11;0523;;;5235;;-2;Europe/Amsterdam;2017-10-09;Netherlands;51.83257,4.83583
2755601;Genderen;Genderen;;P;PPL;NL;Netherlands;;06;1959;;;1730;;2;Europe/Amsterdam;2021-08-30;Netherlands;51.73583,5.0875
2756139;Emmeloord;Emmeloord;Ehmmelord,Emmeloard,Emmelord,ai mo luo er de,Еммелорд,Эммелорд,埃默洛爾德;P;PPL;NL;Netherlands;;16;0171;;;46409;;-1;Europe/Amsterdam;2017-10-17;Netherlands;52.71083,5.74861
2756351;Eerbeek;Eerbeek;Erbeke;P;PPL;NL;Netherlands;;03;0213;;;10103;;20;Europe/Amsterdam;2017-10-17;Netherlands;52.105,6.05833
2756435;Eckart;Eckart;;P;PPLX;NL;Netherlands;;06;0772;;;4300;;18;Europe/Amsterdam;2017-04-08;Netherlands;51.4732,5.49449
2756567;Drogeham;Drogeham;Droegeham,Drogeham,Droogeham;P;PPL;NL;Netherlands;;02;0059;;;1530;;2;Europe/Amsterdam;2017-10-17;Netherlands;53.20213,6.11183
2756675;Doornsteeg;Doornsteeg;;P;PPL;NL;Netherlands;;03;0267;;;5400;;-1;Europe/Amsterdam;2017-03-24;Netherlands;52.23,5.45417
2757619;De Greiden;De Greiden;De Greiden;P;PPLX;NL;Netherlands;;02;0074;;;7470;;-1;Europe/Amsterdam;2018-12-04;Netherlands;52.9496,5.91366
2759350;Beek;Beek;Baek,Beek;P;PPL;NL;Netherlands;;05;0888;;;8415;;79;Europe/Amsterdam;2017-10-17;Netherlands;50.94083,5.79722
6697854;De Knipe;De Knipe;De Knijpe,De Knipe;P;PPL;NL;Netherlands;;02;0074;;;1480;;1;Europe/Amsterdam;2017-10-17;Netherlands;52.96829,5.97116
6698635;Lunetten;Lunetten;;P;PPLX;NL;Netherlands;;09;0344;;;11679;;4;Europe/Amsterdam;2008-12-27;Netherlands;52.06178,5.13474
9036086;Waterdonken;Waterdonken;;P;PPLX;NL;Netherlands;;06;0758;;;1110;;0;Europe/Amsterdam;2017-03-24;Netherlands;51.60959,4.80452
2743624;Zuilichem;Zuilichem;Zuelichem;P;PPL;NL;Netherlands;;03;0297;;;1245;;3;Europe/Amsterdam;2017-10-17;Netherlands;51.80917,5.13611
2743856;Zoetermeer;Zoetermeer;Zeutermaer,Zoetermeer,zwtrmyyr,זוטרמייר;P;PPL;NL;Netherlands;;11;0637;;;115845;;0;Europe/Amsterdam;2017-10-17;Netherlands;52.0575,4.49306
2744006;Zeelst;Zeelst;;P;PPLX;NL;Netherlands;;06;0861;;;5280;;21;Europe/Amsterdam;2017-03-24;Netherlands;51.42421,5.41566
2744014;Zeeland;Zeeland;Op-Zeeland,Seelandt,Selant,Zeeland,Zelant,Zelland,Zélland;P;PPL;NL;Netherlands;;06;1991;;;4750;;20;Europe/Amsterdam;2022-09-30;Netherlands;51.6975,5.67639
2744227;Wolder;Wolder;Wilree;P;PPLX;NL;Netherlands;;05;0935;;;1425;;82;Europe/Amsterdam;2017-03-24;Netherlands;50.83752,5.65938
2745123;Waalwijk;Waalwijk;Waalwijk;P;PPL;NL;Netherlands;;06;0867;;;45610;;4;Europe/Amsterdam;2017-10-17;Netherlands;51.6825,5.07083
2745522;Vijlen;Vijlen;;P;PPL;NL;Netherlands;;05;0981;;;1290;;192;Europe/Amsterdam;2017-10-17;Netherlands;50.78833,5.96528
2745667;Veltum;Veltum;;P;PPLX;NL;Netherlands;;05;0984;;;3765;;29;Europe/Amsterdam;2017-03-24;Netherlands;51.51954,5.96032
2745955;Ulestraten;Ulestraten;;P;PPL;NL;Netherlands;;05;0938;;;2595;;111;Europe/Amsterdam;2017-10-17;Netherlands;50.90583,5.78194
2746389;Teteringen;Teteringen;;P;PPL;NL;Netherlands;;06;0758;;;7230;;6;Europe/Amsterdam;2017-10-17;Netherlands;51.60917,4.82083
2746407;Terschuur;Terschuur;;P;PPL;NL;Netherlands;;03;0203;;;1480;;6;Europe/Amsterdam;2017-10-17;Netherlands;52.165,5.51667
2746600;Strijp;Strijp;;P;PPL;NL;Netherlands;;11;0603;;;3955;;0;Europe/Amsterdam;2017-03-24;Netherlands;52.03083,4.30139
2746773;Steensel;Steensel;;P;PPL;NL;Netherlands;;06;0770;;;1280;;28;Europe/Amsterdam;2017-10-17;Netherlands;51.37667,5.35278
2746823;Stavenisse;Stavenisse;;P;PPL;NL;Netherlands;;10;0716;;;1505;;2;Europe/Amsterdam;2017-10-17;Netherlands;51.5875,4.0125
2746956;Spekholzerheide;Spekholzerheide;;P;PPL;NL;Netherlands;;05;0928;;;3175;;159;Europe/Amsterdam;2017-03-24;Netherlands;50.85559,6.02471
2746975;Spangen;Spangen;Spangen;P;PPLX;NL;Netherlands;;11;0599;;;10285;;7;Europe/Amsterdam;2017-03-24;Netherlands;51.91688,4.43539
