type,uri
vegetable dishes,http://vocab.getty.edu/aat/300042981
voetbal,
gloves,http://vocab.getty.edu/aat/300148821
pennants,http://vocab.getty.edu/aat/300195680
padlocks,http://vocab.getty.edu/aat/300133746
teakettles,http://vocab.getty.edu/aat/300195275
cushions,http://vocab.getty.edu/aat/300236073
textile materials,http://vocab.getty.edu/aat/300231565
gongs,http://vocab.getty.edu/aat/300041905
armenbus,
phonograph records,http://vocab.getty.edu/aat/300028643
sabots,http://vocab.getty.edu/aat/300210045
bags (costume accessories),http://vocab.getty.edu/aat/300198926
fouragère,
jak,
grand pianos,http://vocab.getty.edu/aat/300041713
stamper,
gildekist,
contétekening,
meetbrief,
oorkonde,
receipts (financial records),http://vocab.getty.edu/aat/300027573
soup spoons,http://vocab.getty.edu/aat/300043175
dessert knives,http://vocab.getty.edu/aat/300043123
table forks,http://vocab.getty.edu/aat/300255591
houtschaaf[miniatuur],
maps (documents),http://vocab.getty.edu/aat/300028094
manchetknopen,
stockings,http://vocab.getty.edu/aat/300046088
lanterns (lighting devices),http://vocab.getty.edu/aat/300037647
opticaspiegel,
"busts (general, figures)",http://vocab.getty.edu/aat/300047457
stoomgemaal,
zouavenuniform,
sabrataches,http://vocab.getty.edu/aat/300216943
gallows,http://vocab.getty.edu/aat/300266883
services (sets),http://vocab.getty.edu/aat/300236054
kraantjeskan,
pistols,http://vocab.getty.edu/aat/300037160
inkwells,http://vocab.getty.edu/aat/300196797
testimonials,http://vocab.getty.edu/aat/300026676
bekendmaking,
prijsnotering,
trumpets (aerophones),http://vocab.getty.edu/aat/300042339
klaprooskrans,
likeurglas,
ladders,http://vocab.getty.edu/aat/300022376
canapés (elegant sofas),http://vocab.getty.edu/aat/300038636
mortars (grinding tools),http://vocab.getty.edu/aat/300024724
poniards,http://vocab.getty.edu/aat/300037036
banderoles,http://vocab.getty.edu/aat/300298987
knives,http://vocab.getty.edu/aat/300024668
folders (containers),http://vocab.getty.edu/aat/300197602
albums (books),http://vocab.getty.edu/aat/300026690
