filename,width,height,orientation
1726,600,605,Portrait
1727,600,616,Portrait
1729,683,600,landscape
1731,800,560,landscape
1733,445,800,Portrait
1735,627,600,landscape
1736,800,425,landscape
1737,800,429,landscape
1738,800,423,landscape
1743,800,508,landscape
1744,573,800,Portrait
1745,577,800,Portrait
1746,600,717,Portrait
1747,600,729,Portrait
1748,587,800,Portrait
1752,409,800,Portrait
1753,535,800,Portrait
1754,600,705,Portrait
1755,591,800,Portrait
1756,426,800,Portrait
1757,600,790,Portrait
1758,600,697,Portrait
1759,600,684,Portrait
1763,800,591,landscape
1764,795,600,landscape
1765,702,600,landscape
1766,631,600,landscape
1771,661,600,landscape
1772,334,800,Portrait
1773,600,610,Portrait
1774,600,787,Portrait
1775,600,786,Portrait
1776,600,784,Portrait
1777,600,788,Portrait
1778,600,780,Portrait
1779,600,713,Portrait
1782,600,608,Portrait
1786,600,698,Portrait
1789,600,752,Portrait
1793,600,725,Portrait
1794,486,800,Portrait
1801,691,600,landscape
1802,541,800,Portrait
1803,800,541,landscape
1806,600,671,Portrait
1809,557,800,Portrait
1812,510,800,Portrait
1813,600,607,Portrait
1814,762,600,landscape
1815,600,705,Portrait
1816,709,600,landscape
1820,600,797,Portrait
1821,600,794,Portrait
1822,586,800,Portrait
1825,717,600,landscape
1826,732,600,landscape
1828,600,721,Portrait
1829,600,600,square
1830,600,601,Portrait
1831,572,800,Portrait
1832,600,610,Portrait
1833,600,602,Portrait
1834,600,601,Portrait
1840,267,800,Portrait
1841,269,800,Portrait
1842,271,800,Portrait
1852,482,800,Portrait
1853,535,800,Portrait
1864,600,602,Portrait
1871,342,800,Portrait
1875,720,600,landscape
1876,600,733,Portrait
1877,618,600,landscape
1878,574,800,Portrait
1897,600,601,Portrait
1898,605,600,landscape
1899,605,600,landscape
1900,602,600,landscape
1903,763,600,landscape
1904,736,600,landscape
1907,604,600,landscape
1909,800,534,landscape
1910,800,559,landscape
1918,666,600,landscape
1919,600,665,Portrait
1920,672,600,landscape
1921,650,600,landscape
1922,600,774,Portrait
